更新时间: 2026-04-21 20:47:30（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV3,http://183.151.27.188:4022/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://183.164.46.181:6688/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://183.165.195.249:7000/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://223.10.214.111:6000/rtp/239.1.1.9:8009$山西电信
CCTV3,http://39.77.75.225:4000/udp/239.253.254.191:8000$山东联通
CCTV3,http://58.62.234.243:10000/rtp/239.77.0.169:5146$广东电信
CCTV4,http://106.37.149.152:8899/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://183.151.27.188:4022/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://183.164.46.181:6688/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://183.165.195.249:7000/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
CCTV4,http://39.77.75.225:4000/udp/239.253.254.187:8000$山东联通
CCTV4,http://58.62.234.243:10000/rtp/239.77.0.78:5146$广东电信
CCTV4K,http://183.151.27.188:4022/rtp/233.50.201.226:5140$浙江电信
CCTV4K,http://183.164.46.181:6688/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://183.165.195.249:7000/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.1.180:5146$广东电信
CCTV4欧洲,http://58.62.234.243:10000/rtp/239.253.43.120:5146$广东电信
CCTV4美洲,http://58.62.234.243:10000/rtp/239.253.43.121:5146$广东电信
CCTV5+,http://106.37.149.152:8899/rtp/225.1.8.20:8004$北京市电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://183.151.27.188:4022/rtp/233.50.201.220:5140$浙江电信
CCTV5+,http://183.164.46.181:6688/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://183.165.195.249:7000/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://223.10.214.111:6000/rtp/239.1.1.12:8012$山西电信
CCTV5+,http://39.77.75.225:4000/udp/239.253.254.80:8000$山东联通
CCTV5+,http://58.62.234.243:10000/rtp/239.77.0.87:5146$广东电信
CCTV5,http://106.37.149.152:8899/rtp/225.1.8.89:8000$北京市电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://183.151.27.188:4022/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://183.151.27.188:4022/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://183.164.46.181:6688/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://183.165.195.249:7000/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
CCTV5,http://39.77.75.225:4000/udp/239.253.254.192:8000$山东联通
CCTV5,http://58.62.234.243:10000/rtp/239.77.0.170:5146$广东电信
CCTV6,http://106.37.149.152:8899/rtp/225.1.8.84:8000$北京市电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://183.151.27.188:4022/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://183.164.46.181:6688/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://183.165.195.249:7000/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://223.10.214.111:6000/rtp/239.1.1.13:8013$山西电信
CCTV6,http://39.77.75.225:4000/udp/239.253.254.193:8000$山东联通
CCTV6,http://58.62.234.243:10000/rtp/239.77.0.171:5146$广东电信
CCTV7,http://106.37.149.152:8899/rtp/225.1.8.7:8104$北京市电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://183.151.27.188:4022/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://183.164.46.181:6688/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://183.165.195.249:7000/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://223.10.214.111:6000/rtp/239.1.1.14:8014$山西电信
CCTV7,http://39.77.75.225:4000/udp/239.253.254.233:8000$山东联通
CCTV7,http://58.62.234.243:10000/rtp/239.77.0.138:5146$广东电信
CCTV8,http://106.37.149.152:8899/rtp/225.1.8.85:8000$北京市电信
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://183.151.27.188:4022/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://183.164.46.181:6688/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://183.165.195.249:7000/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://223.10.214.111:6000/rtp/239.1.1.15:8015$山西电信
CCTV8,http://39.77.75.225:4000/udp/239.253.254.194:8000$山东联通
CCTV8,http://58.62.234.243:10000/rtp/239.77.0.172:5146$广东电信
CCTV9,http://106.37.149.152:8899/rtp/225.1.8.9:8112$北京市电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://183.151.27.188:4022/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://183.164.46.181:6688/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://183.165.195.249:7000/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://223.10.214.111:6000/rtp/239.1.1.16:8016$山西电信
CCTV9,http://39.77.75.225:4000/udp/239.253.254.79:8000$山东联通
CCTV9,http://58.62.234.243:10000/rtp/239.77.0.135:5146$广东电信

卫视频道,#genre#
东南卫视,http://106.37.149.152:8899/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://183.151.27.188:4022/rtp/233.50.200.135:5140$浙江电信
东南卫视,http://183.151.27.188:4022/rtp/233.50.201.146:5140$浙江电信
东南卫视,http://183.164.46.181:6688/rtp/238.1.78.22:6104$安徽电信
东南卫视,http://183.165.195.249:7000/rtp/238.1.78.22:6104$安徽电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://39.77.75.225:4000/udp/239.253.254.105:8000$山东联通
东南卫视,http://58.62.234.243:10000/rtp/239.77.0.146:5146$广东电信
东方卫视,http://106.37.149.152:8899/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://183.151.27.188:4022/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://183.151.27.188:4022/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://183.151.27.188:4022/rtp/233.50.202.105:5140$浙江电信
东方卫视,http://183.164.46.181:6688/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://183.165.195.249:7000/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://39.77.75.225:4000/udp/239.253.254.86:8000$山东联通
东方卫视,http://58.62.234.243:10000/rtp/239.77.0.59:5146$广东电信
东方卫视,http://58.62.234.243:10000/rtp/239.77.1.218:5146$广东电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://183.151.27.188:4022/rtp/233.50.200.115:5140$浙江电信
云南卫视,http://183.164.46.181:6688/rtp/238.1.78.89:6584$安徽电信
云南卫视,http://183.165.195.249:7000/rtp/238.1.78.89:6584$安徽电信
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
云南卫视,http://39.77.75.225:4000/udp/239.253.254.196:8000$山东联通
云南卫视,http://58.62.234.243:10000/rtp/239.253.43.100:5146$广东电信
内蒙古卫视,http://183.164.46.181:6688/rtp/238.1.78.103:6696$安徽电信
内蒙古卫视,http://183.165.195.249:7000/rtp/238.1.78.103:6696$安徽电信
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
内蒙古卫视,http://58.62.234.243:10000/rtp/239.77.0.70:5146$广东电信
北京卫视,http://106.37.149.152:8899/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://183.151.27.188:4022/rtp/233.50.200.179:5140$浙江电信
北京卫视,http://183.151.27.188:4022/rtp/233.50.201.107:5140$浙江电信
北京卫视,http://183.151.27.188:4022/rtp/233.50.202.100:5140$浙江电信
北京卫视,http://183.164.46.181:6688/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://183.165.195.249:7000/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://39.77.75.225:4000/udp/239.253.254.85:8000$山东联通
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.153:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.233:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.2:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.3:5146$广东电信
